goos: darwin
goarch: arm64
pkg: github.com/s1onique/leamas/internal/factory/dupcode
cpu: Apple M3 Max
BenchmarkV4Perf_ShadowFixture-16                              	  100713	      3792 ns/op	   11880 B/op	      29 allocs/op
BenchmarkV4Perf_ShadowFixture-16                              	   84144	      3770 ns/op	   11880 B/op	      29 allocs/op
BenchmarkV4Perf_ShadowFixture-16                              	  101946	      3597 ns/op	   11880 B/op	      29 allocs/op
BenchmarkV4Perf_ShadowFixture-16                              	  104704	      3589 ns/op	   11880 B/op	      29 allocs/op
BenchmarkV4Perf_ShadowFixture-16                              	  100068	      3597 ns/op	   11880 B/op	      29 allocs/op
BenchmarkV4Perf_ShadowFixture-16                              	  100573	      3644 ns/op	   11880 B/op	      29 allocs/op
BenchmarkV4Perf_ShadowFixture-16                              	  101154	      3578 ns/op	   11880 B/op	      29 allocs/op
BenchmarkV4Perf_ShadowFixture-16                              	  103333	      3565 ns/op	   11880 B/op	      29 allocs/op
BenchmarkV4Perf_ShadowFixture-16                              	   99363	      3558 ns/op	   11880 B/op	      29 allocs/op
BenchmarkV4Perf_RepeatedMultiplicity-16                       	  269769	      1360 ns/op	    3320 B/op	      13 allocs/op
BenchmarkV4Perf_RepeatedMultiplicity-16                       	  265275	      1348 ns/op	    3320 B/op	      13 allocs/op
BenchmarkV4Perf_RepeatedMultiplicity-16                       	  263858	      1407 ns/op	    3320 B/op	      13 allocs/op
BenchmarkV4Perf_RepeatedMultiplicity-16                       	  241030	      1435 ns/op	    3320 B/op	      13 allocs/op
BenchmarkV4Perf_RepeatedMultiplicity-16                       	  235940	      1394 ns/op	    3320 B/op	      13 allocs/op
BenchmarkV4Perf_RepeatedMultiplicity-16                       	  271796	      1360 ns/op	    3320 B/op	      13 allocs/op
BenchmarkV4Perf_RepeatedMultiplicity-16                       	  267897	      1353 ns/op	    3320 B/op	      13 allocs/op
BenchmarkV4Perf_RepeatedMultiplicity-16                       	  270788	      1378 ns/op	    3320 B/op	      13 allocs/op
BenchmarkV4Perf_RepeatedMultiplicity-16                       	  247454	      1387 ns/op	    3320 B/op	      13 allocs/op
BenchmarkV4Perf_RepeatedMultiplicity-16                       	  263914	      1408 ns/op	    3320 B/op	      13 allocs/op
BenchmarkV4Perf_EmptyCorpus-16                                	128511589	         2.769 ns/op	       0 B/op	       0 allocs/op
BenchmarkV4Perf_EmptyCorpus-16                                	130690382	         2.781 ns/op	       0 B/op	       0 allocs/op
BenchmarkV4Perf_EmptyCorpus-16                                	100000000	         3.140 ns/op	       0 B/op	       0 allocs/op
BenchmarkV4Perf_EmptyCorpus-16                                	127706614	         2.804 ns/op	       0 B/op	       0 allocs/op
BenchmarkV4Perf_EmptyCorpus-16                                	130686507	         2.751 ns/op	       0 B/op	       0 allocs/op
BenchmarkV4Perf_EmptyCorpus-16                                	125268314	         2.949 ns/op	       0 B/op	       0 allocs/op
BenchmarkV4Perf_EmptyCorpus-16                                	129987772	         2.754 ns/op	       0 B/op	       0 allocs/op
BenchmarkV4Perf_EmptyCorpus-16                                	130294612	         2.767 ns/op	       0 B/op	       0 allocs/op
BenchmarkV4Perf_EmptyCorpus-16                                	129772323	         2.764 ns/op	       0 B/op	       0 allocs/op
BenchmarkV4Perf_EmptyCorpus-16                                	130008328	         2.774 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/s1onique/leamas/internal/factory/dupcode	66.030s
